State,Case_#,Distracted
Alabama,10001,Not Reported
Alabama,10002,Not Reported
Alabama,10003,Not Distracted
Alabama,10003,Not Distracted
Alabama,10004,Not Reported
Alabama,10005,Not Reported
Alabama,10005,Not Distracted
Alabama,10006,Not Distracted
Alabama,10007,Not Distracted
Alabama,10008,Not Distracted
Alabama,10008,No Driver Present/Unknown if Driver present
Alabama,10009,Not Reported
Alabama,10010,Not Distracted
Alabama,10011,Reported as Unknown if Distracted
Alabama,10011,Not Reported
Alabama,10011,Not Reported
Alabama,10012,Not Reported
Alabama,10013,Not Reported
Alabama,10013,Not Reported
Alabama,10013,Not Distracted
Alabama,10014,Not Reported
Alabama,10014,Not Reported
Alabama,10015,Not Distracted
Alabama,10016,"Distraction (Distracted), Details Unknown"
Alabama,10017,Not Distracted
Alabama,10018,Not Reported
Alabama,10018,Not Reported
Alabama,10019,Reported as Unknown if Distracted
Alabama,10020,Not Reported
Alabama,10020,Not Reported
Alabama,10021,Reported as Unknown if Distracted
Alabama,10021,Not Reported
Alabama,10022,While Manipulating Cellular Phone
Alabama,10022,Not Reported
Alabama,10023,Not Distracted
Alabama,10023,Not Distracted
Alabama,10024,Reported as Unknown if Distracted
Alabama,10024,Not Reported
Alabama,10025,Not Reported
Alabama,10025,Not Reported
Alabama,10026,Not Distracted
Alabama,10027,Not Distracted
Alabama,10028,While Talking or Listening to Cellular Phone
Alabama,10028,Not Reported
Alabama,10029,Not Distracted
Alabama,10030,Other Cellular Phone Related
Alabama,10030,Not Distracted
Alabama,10031,Not Distracted
Alabama,10031,Not Distracted
Alabama,10032,Not Distracted
Alabama,10033,Not Distracted
Alabama,10034,Not Distracted
Alabama,10035,Not Reported
Alabama,10035,Not Distracted
Alabama,10036,Not Distracted
Alabama,10037,Reported as Unknown if Distracted
Alabama,10038,Not Distracted
Alabama,10039,Not Distracted
Alabama,10039,Not Distracted
Alabama,10040,Not Reported
Alabama,10041,Not Reported
Alabama,10042,Not Reported
Alabama,10043,Not Distracted
Alabama,10043,Not Distracted
Alabama,10044,Not Distracted
Alabama,10044,Not Distracted
Alabama,10045,Not Reported
Alabama,10045,Not Reported
Alabama,10046,Not Reported
Alabama,10046,Not Reported
Alabama,10047,Not Reported
Alabama,10047,Not Reported
Alabama,10048,Not Distracted
Alabama,10048,Not Reported
Alabama,10049,Not Distracted
Alabama,10050,Not Distracted
Alabama,10050,Not Reported
Alabama,10051,Not Distracted
Alabama,10052,Reported as Unknown if Distracted
Alabama,10053,"Distraction (Distracted), Details Unknown"
Alabama,10053,Not Distracted
Alabama,10054,Not Distracted
Alabama,10055,Not Distracted
Alabama,10056,Not Reported
Alabama,10057,Not Reported
Alabama,10058,Not Distracted
Alabama,10059,Not Reported
Alabama,10059,Not Reported
Alabama,10059,Not Distracted
Alabama,10059,Not Distracted
Alabama,10059,Not Distracted
Alabama,10060,While Manipulating Cellular Phone
Alabama,10061,Not Distracted
Alabama,10062,Not Reported
Alabama,10063,Not Reported
Alabama,10064,Not Reported
Alabama,10065,Not Reported
Alabama,10065,Not Distracted
Alabama,10066,Not Reported
Alabama,10067,Not Reported
Alabama,10068,Not Reported
Alabama,10068,Not Reported
Alabama,10069,Not Reported
Alabama,10069,Not Reported
Alabama,10070,Not Reported
Alabama,10071,Not Reported
Alabama,10072,Not Reported
Alabama,10073,Not Distracted
Alabama,10074,Not Reported
Alabama,10075,Not Distracted
Alabama,10076,While Manipulating Cellular Phone
Alabama,10076,Not Distracted
Alabama,10077,Not Distracted
Alabama,10078,Not Distracted
Alabama,10078,Not Distracted
Alabama,10079,Not Reported
Alabama,10080,No Driver Present/Unknown if Driver present
Alabama,10080,Not Reported
Alabama,10081,Not Distracted
Alabama,10082,Reported as Unknown if Distracted
Alabama,10082,Not Reported
Alabama,10083,Not Reported
Alabama,10083,Not Reported
Alabama,10084,Not Distracted
Alabama,10084,Not Distracted
Alabama,10084,Not Distracted
Alabama,10085,Not Distracted
Alabama,10086,Not Distracted
Alabama,10087,Not Reported
Alabama,10088,Not Reported
Alabama,10089,Not Distracted
Alabama,10090,Not Reported
Alabama,10090,Not Reported
Alabama,10091,Not Reported
Alabama,10092,Not Reported
Alabama,10093,Not Distracted
Alabama,10094,Not Distracted
Alabama,10094,Not Reported
Alabama,10094,Not Reported
Alabama,10095,Not Reported
Alabama,10096,Not Reported
Alabama,10097,Not Reported
Alabama,10097,Not Reported
Alabama,10098,Not Distracted
Alabama,10098,Not Distracted
Alabama,10099,Not Reported
Alabama,10100,Not Distracted
Alabama,10101,Not Reported
Alabama,10102,Not Reported
Alabama,10102,Not Reported
Alabama,10103,Not Reported
Alabama,10104,Not Reported
Alabama,10104,Not Reported
Alabama,10105,Not Distracted
Alabama,10106,Not Distracted
Alabama,10106,Not Distracted
Alabama,10107,Not Reported
Alabama,10109,Not Reported
Alabama,10110,Not Reported
Alabama,10111,Not Reported
Alabama,10112,Not Reported
Alabama,10113,Other Distraction
Alabama,10114,Not Reported
Alabama,10115,Not Distracted
Alabama,10116,While Manipulating Cellular Phone
Alabama,10116,Not Distracted
Alabama,10117,Not Distracted
Alabama,10118,Not Reported
Alabama,10119,Not Reported
Alabama,10119,Not Reported
Alabama,10120,"Distracted by Outside Person, Object or Event"
Alabama,10120,Not Reported
Alabama,10120,Not Reported
Alabama,10121,Not Reported
Alabama,10121,Not Reported
Alabama,10121,Not Reported
Alabama,10122,Not Reported
Alabama,10124,Not Distracted
Alabama,10124,Not Distracted
Alabama,10125,Not Distracted
Alabama,10126,Not Distracted
Alabama,10126,Not Distracted
Alabama,10127,Not Reported
Alabama,10127,Not Reported
Alabama,10127,Not Reported
Alabama,10128,Not Distracted
Alabama,10129,Not Distracted
Alabama,10130,Not Distracted
Alabama,10130,Not Distracted
Alabama,10131,Not Reported
Alabama,10132,Not Reported
Alabama,10133,Not Reported
Alabama,10134,Not Distracted
Alabama,10135,Not Distracted
Alabama,10135,Not Distracted
Alabama,10136,Not Reported
Alabama,10137,Not Reported
Alabama,10137,Not Reported
