State,Case_#,Distracted
Alabama,10149,Not Distracted
Alabama,10149,Not Distracted
Alabama,10150,Not Distracted
Alabama,10151,Not Reported
Alabama,10152,Not Reported
Alabama,10152,Not Distracted
Alabama,10153,Not Distracted
Alabama,10153,Not Distracted
Alabama,10154,Not Distracted
Alabama,10155,Not Distracted
Alabama,10155,Not Distracted
Alabama,10156,Not Distracted
Alabama,10157,Not Distracted
Alabama,10158,Not Distracted
Alabama,10159,Not Distracted
Alabama,10160,Not Distracted
Alabama,10161,Not Distracted
Alabama,10162,Not Distracted
Alabama,10162,Not Distracted
Alabama,10163,Not Distracted
Alabama,10164,Not Distracted
Alabama,10165,Not Distracted
Alabama,10165,Not Distracted
Alabama,10166,Not Distracted
Alabama,10166,Not Distracted
Alabama,10167,Not Distracted
Alabama,10167,Not Distracted
Alabama,10168,Not Distracted
Alabama,10169,Unknown if Distracted
Alabama,10169,Not Distracted
Alabama,10170,Not Distracted
Alabama,10171,Not Distracted
Alabama,10172,Not Distracted
Alabama,10172,Not Distracted
Alabama,10172,Not Distracted
Alabama,10173,Not Distracted
Alabama,10173,Not Distracted
Alabama,10174,Not Distracted
Alabama,10174,Not Distracted
Alabama,10175,Not Distracted
Alabama,10175,Not Distracted
Alabama,10176,Not Reported
Alabama,10176,Not Reported
Alabama,10177,Not Distracted
Alabama,10177,Not Distracted
Alabama,10178,Not Distracted
Alabama,10178,Not Distracted
Alabama,10179,Not Distracted
Alabama,10179,Not Distracted
Alabama,10179,Not Distracted
Alabama,10179,Not Distracted
Alabama,10180,Not Distracted
Alabama,10181,Not Distracted
Alabama,10181,Not Distracted
Alabama,10181,Not Distracted
Alabama,10182,Not Distracted
Alabama,10183,Not Distracted
Alabama,10183,Not Distracted
Alabama,10184,Not Distracted
Alabama,10185,Not Distracted
Alabama,10186,Not Distracted
Alabama,10186,Not Distracted
Alabama,10187,Not Distracted
Alabama,10188,Not Distracted
Alabama,10188,Not Distracted
Alabama,10189,Not Distracted
Alabama,10190,Not Distracted
Alabama,10191,Not Distracted
Alabama,10191,Not Distracted
Alabama,10192,Not Distracted
Alabama,10193,Not Distracted
Alabama,10194,Not Distracted
Alabama,10195,Not Distracted
Alabama,10196,Not Distracted
Alabama,10197,Not Distracted
Alabama,10197,Not Distracted
Alabama,10198,Not Distracted
Alabama,10199,Not Distracted
Alabama,10199,Not Distracted
Alabama,10200,Not Distracted
Alabama,10200,Not Distracted
Alabama,10201,Not Distracted
Alabama,10202,Not Reported
Alabama,10203,Not Distracted
Alabama,10204,Not Distracted
Alabama,10204,Not Distracted
Alabama,10205,Not Reported
Alabama,10205,Not Reported
Alabama,10206,While Manipulating Cellular Phone
Alabama,10207,While Manipulating Cellular Phone
Alabama,10207,Not Distracted
Alabama,10208,Not Distracted
Alabama,10209,Not Distracted
Alabama,10209,Not Distracted
Alabama,10209,Not Distracted
Alabama,10210,Not Reported
Alabama,10211,Not Distracted
Alabama,10212,Not Reported
Alabama,10212,Not Reported
Alabama,10212,Not Reported
Alabama,10212,Not Reported
Alabama,10213,Not Distracted
Alabama,10213,No Driver Present/Unknown if Driver present
Alabama,10214,Not Distracted
Alabama,10214,Not Distracted
Alabama,10215,Not Distracted
Alabama,10216,Not Distracted
Alabama,10216,Not Distracted
Alabama,10217,Not Distracted
Alabama,10218,Not Distracted
Alabama,10219,Not Distracted
Alabama,10220,Not Distracted
Alabama,10221,Not Distracted
Alabama,10222,No Driver Present/Unknown if Driver present
Alabama,10223,Not Distracted
Alabama,10224,Not Distracted
Alabama,10225,Not Distracted
Alabama,10226,Not Distracted
Alabama,10227,Not Distracted
Alabama,10227,Not Distracted
Alabama,10228,Not Distracted
Alabama,10228,Not Distracted
Alabama,10229,By Other Occupant(s)
Alabama,10229,Not Distracted
Alabama,10229,Not Distracted
Alabama,10230,Not Distracted
Alabama,10231,Not Distracted
Alabama,10232,Not Distracted
Alabama,10232,Not Distracted
Alabama,10233,"Distraction (Distracted), Details Unknown"
Alabama,10234,Not Distracted
Alabama,10235,Not Distracted
Alabama,10235,Not Distracted
Alabama,10236,Not Reported
Alabama,10236,Not Distracted
Alabama,10237,Not Distracted
Alabama,10238,Not Distracted
Alabama,10239,Not Distracted
Alabama,10240,Not Distracted
Alabama,10240,Not Distracted
Alabama,10241,While Talking or Listening to Cellular Phone
Alabama,10241,Not Distracted
Alabama,10242,Not Distracted
Alabama,10242,Not Distracted
Alabama,10243,Not Distracted
Alabama,10243,Not Distracted
Alabama,10244,Not Distracted
Alabama,10245,Not Distracted
Alabama,10246,Not Distracted
Alabama,10246,Not Distracted
Alabama,10246,Not Distracted
Alabama,10247,Not Distracted
Alabama,10248,Not Distracted
Alabama,10248,Not Distracted
Alabama,10249,Not Distracted
Alabama,10250,Not Distracted
Alabama,10250,Not Distracted
Alabama,10251,Not Distracted
Alabama,10251,Not Distracted
Alabama,10252,Not Distracted
Alabama,10252,Not Distracted
Alabama,10253,Not Distracted
Alabama,10253,Not Distracted
Alabama,10254,Not Distracted
Alabama,10254,Not Distracted
Alabama,10255,Not Distracted
Alabama,10255,Not Distracted
Alabama,10256,Not Distracted
Alabama,10256,Not Distracted
Alabama,10257,Not Reported
Alabama,10258,Not Distracted
Alabama,10259,Not Reported
Alabama,10260,Not Distracted
Alabama,10261,Not Distracted
Alabama,10262,Not Distracted
Alabama,10263,Not Distracted
Alabama,10263,Not Distracted
Alabama,10264,Looked But Did Not See
Alabama,10264,Not Distracted
Alabama,10265,Not Distracted
Alabama,10265,Not Distracted
Alabama,10266,Not Distracted
Alabama,10267,Not Distracted
Alabama,10268,Not Distracted
Alabama,10269,Not Distracted
Alabama,10270,Not Distracted
Alabama,10271,Not Distracted
Alabama,10271,Not Distracted
Alabama,10272,Not Distracted
Alabama,10272,Not Distracted
Alabama,10273,By Other Occupant(s)
Alabama,10273,Not Distracted
Alabama,10274,Unknown if Distracted
Alabama,10275,Not Distracted
Alabama,10276,Not Distracted
Alabama,10277,Not Distracted
Alabama,10278,Not Distracted
Alabama,10279,Not Distracted
Alabama,10280,Not Distracted
Alabama,10281,Not Distracted
Alabama,10281,Not Distracted
Alabama,10281,Not Distracted
Alabama,10281,Not Distracted
Alabama,10281,Not Distracted
Alabama,10281,Not Distracted
Alabama,10282,Not Distracted
Alabama,10283,Not Distracted
Alabama,10284,Not Distracted
Alabama,10284,Not Distracted
Alabama,10285,Not Distracted
Alabama,10286,Not Distracted
Alabama,10287,Not Reported
Alabama,10287,Not Reported
Alabama,10288,Not Distracted
Alabama,10289,Not Distracted
Alabama,10290,Not Distracted
Alabama,10291,Unknown if Distracted
Alabama,10291,Unknown if Distracted
Alabama,10292,Not Distracted
Alabama,10293,Not Distracted
Alabama,10294,Not Distracted
Alabama,10295,Not Distracted
Alabama,10296,Not Distracted
Alabama,10297,Not Distracted
Alabama,10298,Not Distracted
Alabama,10298,Not Distracted
Alabama,10299,Not Distracted
Alabama,10299,Not Distracted
Alabama,10300,Not Distracted
Alabama,10300,Not Distracted
Alabama,10301,Not Distracted
Alabama,10301,Not Distracted
Alabama,10302,Not Distracted
Alabama,10302,Not Distracted
Alabama,10303,Not Distracted
Alabama,10303,Not Distracted
Alabama,10304,Not Distracted
Alabama,10305,Not Distracted
Alabama,10306,Not Distracted
Alabama,10306,Not Distracted
Alabama,10307,Not Distracted
Alabama,10307,Not Distracted
Alabama,10308,Not Distracted
Alabama,10309,Not Distracted
Alabama,10310,Not Distracted
Alabama,10311,Not Distracted
Alabama,10311,Not Distracted
Alabama,10312,Not Distracted
Alabama,10312,Not Distracted
Alabama,10313,Not Distracted
Alabama,10313,Not Distracted
Alabama,10314,Not Distracted
Alabama,10315,Not Distracted
Alabama,10316,Not Distracted
Alabama,10317,Not Distracted
Alabama,10318,Not Distracted
Alabama,10318,Not Distracted
Alabama,10319,Not Distracted
Alabama,10320,Not Distracted
Alabama,10321,Not Distracted
Alabama,10321,Not Distracted
Alabama,10321,Not Distracted
Alabama,10322,"Distraction (Distracted), Details Unknown"
Alabama,10322,Not Distracted
Alabama,10322,Not Distracted
Alabama,10322,Not Distracted
Alabama,10323,Not Distracted
Alabama,10323,Not Distracted
Alabama,10324,Not Distracted
Alabama,10325,Not Distracted
Alabama,10326,Not Distracted
Alabama,10327,Not Distracted
Alabama,10328,By Other Occupant(s)
Alabama,10329,Not Distracted
Alabama,10330,Not Distracted
Alabama,10331,Not Distracted
Alabama,10332,Not Reported
Alabama,10332,Not Reported
Alabama,10333,Not Reported
Alabama,10333,Not Reported
Alabama,10333,Not Distracted
Alabama,10334,Not Reported
Alabama,10335,Not Distracted
Alabama,10335,Not Distracted
Alabama,10336,"Distraction (Distracted), Details Unknown"
Alabama,10337,Not Distracted
Alabama,10337,Not Distracted
Alabama,10338,Not Distracted
Alabama,10339,Not Distracted
Alabama,10340,Not Distracted
Alabama,10341,Not Distracted
Alabama,10342,Not Distracted
Alabama,10343,By Other Occupant(s)
